input,target
Determine whether the following statement or statements are plausible or implausible: Jarrett Allen got on base,implausible
Determine whether the following statement or statements are plausible or implausible: Leon Draisaitl shot the puck,plausible
Determine whether the following statement or statements are plausible or implausible: Paul Goldschmidt walked on ball four,plausible
Determine whether the following statement or statements are plausible or implausible: Luis Suarez performed a give and go,plausible
Determine whether the following statement or statements are plausible or implausible: Kyle Anderson skated backwards,implausible
Determine whether the following statement or statements are plausible or implausible: Keenan Allen drew a flag on the play in the NFC championship,plausible
Determine whether the following statement or statements are plausible or implausible: Mapou Yanga-M'Biwa did a double stepover,plausible
Determine whether the following statement or statements are plausible or implausible: Juan Soto flew out to center,plausible
Determine whether the following statement or statements are plausible or implausible: Santi Cazorla scored a touchdown,implausible
Determine whether the following statement or statements are plausible or implausible: Trevor Bauer stepped on first base,plausible
Determine whether the following statement or statements are plausible or implausible: Michael Porter Jr. called for the screen,plausible
Determine whether the following statement or statements are plausible or implausible: Radamel Falcao earned an indirect kick,plausible
Determine whether the following statement or statements are plausible or implausible: Christian Yelich headed back to the dugout,plausible
Determine whether the following statement or statements are plausible or implausible: Calvin Ridley ran out of bounds in the NFC divisional round,plausible
Determine whether the following statement or statements are plausible or implausible: Patrice Bergeron took a backhand shot,plausible
Determine whether the following statement or statements are plausible or implausible: Javi Martinez comitted a three second violation,implausible
Determine whether the following statement or statements are plausible or implausible: Caris LeVert scored a reverse layup,plausible
Determine whether the following statement or statements are plausible or implausible: Neymar did a maradona on the defender in the Champions Leage Semifinal,plausible
Determine whether the following statement or statements are plausible or implausible: Marouane Fellaini scored a freekick,plausible
Determine whether the following statement or statements are plausible or implausible: Jaylen Brown hit the buzzer beater in the NBA Championship,plausible
Determine whether the following statement or statements are plausible or implausible: Nelson Cruz earned a red card,implausible
Determine whether the following statement or statements are plausible or implausible: Carles Puyol earned a direct kick,plausible
Determine whether the following statement or statements are plausible or implausible: Jamison Crowder shot from beyond the arc,implausible
Determine whether the following statement or statements are plausible or implausible: Elias Pettersson was caught in a rundown,implausible
Determine whether the following statement or statements are plausible or implausible: Nathan MacKinnon bricked the three pointer in the Eastern Conference Finals,implausible
Determine whether the following statement or statements are plausible or implausible: Tyler Boyd airballed the shot,implausible
Determine whether the following statement or statements are plausible or implausible: Tom Wilson hit the back shoulder fade,implausible
Determine whether the following statement or statements are plausible or implausible: Freddie Freeman worked a full count,plausible
Determine whether the following statement or statements are plausible or implausible: Kailer Yamamoto crossed the blue line,plausible
Determine whether the following statement or statements are plausible or implausible: Deshaun Watson was called for icing,implausible
Determine whether the following statement or statements are plausible or implausible: Keenan Allen threw a touchdown,plausible
Determine whether the following statement or statements are plausible or implausible: Diego Forlan hit the back shoulder fade in the Superbowl,implausible
Determine whether the following statement or statements are plausible or implausible: Brendan Gallagher spent time in the penalty box in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Trae Young committed a blocking foul in the NBA Championship,plausible
Determine whether the following statement or statements are plausible or implausible: Walker Buehler earned a trip to the penalty box,implausible
Determine whether the following statement or statements are plausible or implausible: Deshaun Watson was called for the goal tend in the Eastern Conference Finals,implausible
Determine whether the following statement or statements are plausible or implausible: DK Metcalf hit the wheel route,plausible
Determine whether the following statement or statements are plausible or implausible: Anders Lee drove into the restricted area,implausible
Determine whether the following statement or statements are plausible or implausible: Carlos Tevez fumbled the ball,implausible
Determine whether the following statement or statements are plausible or implausible: Thomas Muller got on the end of a through ball in the World Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Vincent Kompany committed a handball,plausible
Determine whether the following statement or statements are plausible or implausible: Luka Doncic  committed a three second violation,plausible
Determine whether the following statement or statements are plausible or implausible: Didier Drogba got into the endzone,implausible
Determine whether the following statement or statements are plausible or implausible: Cale Makar hit into a double play,implausible
Determine whether the following statement or statements are plausible or implausible: Manny Machado hit into a double play,plausible
Determine whether the following statement or statements are plausible or implausible: Golden Tate converted the first down,plausible
Determine whether the following statement or statements are plausible or implausible: Dani Alves took the snap,implausible
Determine whether the following statement or statements are plausible or implausible: Anthony Rizzo skated backwards in the Stanley Cup,implausible
Determine whether the following statement or statements are plausible or implausible: James Harden shot from outside the eighteen,implausible
Determine whether the following statement or statements are plausible or implausible: Shai Gilgeous-Alexander beat the buzzer,plausible
Determine whether the following statement or statements are plausible or implausible: Shai Gilgeous-Alexander comitted a three second violation,plausible
Determine whether the following statement or statements are plausible or implausible: Neymar went for it on fourth down,implausible
Determine whether the following statement or statements are plausible or implausible: Derek Carr performed a give and go,implausible
Determine whether the following statement or statements are plausible or implausible: DK Metcalf got into the endzone,plausible
Determine whether the following statement or statements are plausible or implausible: Patrice Bergeron took to the ice,plausible
Determine whether the following statement or statements are plausible or implausible: Cam Newton killed the powerplay,implausible
Determine whether the following statement or statements are plausible or implausible: Arjen Robben crossed the blue line in the Stanley Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Javi Martinez nutmegged the defender,plausible
Determine whether the following statement or statements are plausible or implausible: Kyle Anderson shot with the left foot,implausible
Determine whether the following statement or statements are plausible or implausible: Carles Puyol banked the shot in,implausible
Determine whether the following statement or statements are plausible or implausible: Malcolm Brogdon drove into the restricted area in the Eastern Conference Finals,plausible
Determine whether the following statement or statements are plausible or implausible: Jaren Jackson Jr. eurostepped to the basket in the NBA Championship,plausible
Determine whether the following statement or statements are plausible or implausible: Elias Lindholm beat the buzzer,implausible
Determine whether the following statement or statements are plausible or implausible: Norman Powell took a turnaround jumper,plausible
Determine whether the following statement or statements are plausible or implausible: Logan Couture went for it on fourth down,implausible
Determine whether the following statement or statements are plausible or implausible: Chris Godwin was caught in a rundown in the American League Championship Series,implausible
Determine whether the following statement or statements are plausible or implausible: Philipp Lahm did a maradona on the defender,plausible
Determine whether the following statement or statements are plausible or implausible: Mitchell Marner wristed a shot,plausible
Determine whether the following statement or statements are plausible or implausible: Jack Flaherty pitched a shutout in the National League Championship Series,plausible
Determine whether the following statement or statements are plausible or implausible: Victor Wanyama took a backhand shot,implausible
Determine whether the following statement or statements are plausible or implausible: Taylor Hall converted the double play,implausible
Determine whether the following statement or statements are plausible or implausible: Sergio Ramos hit nothing but net,implausible
Determine whether the following statement or statements are plausible or implausible: Will Fuller was perfect from the line,implausible
Determine whether the following statement or statements are plausible or implausible: Joe Burrow gained five yards,plausible
Determine whether the following statement or statements are plausible or implausible: Franck Ribery performed a slide tackle,plausible
Determine whether the following statement or statements are plausible or implausible: Kyle Tucker took a left footed shot,implausible
Determine whether the following statement or statements are plausible or implausible: Jamal Murray went one for two from the line in the Eastern Conference Finals,plausible
Determine whether the following statement or statements are plausible or implausible: Patrice Evra scored in the shootout,implausible
Determine whether the following statement or statements are plausible or implausible: Klaas Jan Huntelaar caught the back shoulder fade,implausible
Determine whether the following statement or statements are plausible or implausible: Matt Ryan scored a penalty kick,implausible
Determine whether the following statement or statements are plausible or implausible: Marek Hamsik skated behind the net,implausible
Determine whether the following statement or statements are plausible or implausible: Deandre Ayton shot from beyond the arc,plausible
Determine whether the following statement or statements are plausible or implausible: Jerami Grant did a double stepover,implausible
Determine whether the following statement or statements are plausible or implausible: Luke Voit hit a single,plausible
Determine whether the following statement or statements are plausible or implausible: Brent Burns drove into the paint,implausible
Determine whether the following statement or statements are plausible or implausible: Dejounte Murray hit the back of the rim,plausible
Determine whether the following statement or statements are plausible or implausible: Matthew Stafford hit the back of the rim,implausible
Determine whether the following statement or statements are plausible or implausible: Sam Darnold launched a hail mary in the NFC championship,plausible
Determine whether the following statement or statements are plausible or implausible: Trevor Story hit the wheel route in the AFC divisional round,implausible
Determine whether the following statement or statements are plausible or implausible: Mookie Betts scored on the power play,implausible
Determine whether the following statement or statements are plausible or implausible: Evgeni Malkin took a three,implausible
Determine whether the following statement or statements are plausible or implausible: Henrikh Mkhitaryan converted the first down,implausible
Determine whether the following statement or statements are plausible or implausible: Luka Modric went in studs up in the FA Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Sam Darnold struck out,implausible
Determine whether the following statement or statements are plausible or implausible: Mark Stone earned an indirect kick in the FA Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Darius Slayton ran out of bounds in the AFC championship,plausible
Determine whether the following statement or statements are plausible or implausible: Walker Buehler was out at third,plausible
Determine whether the following statement or statements are plausible or implausible: Miro Heiskanen was called for slashing,plausible
Determine whether the following statement or statements are plausible or implausible: T.Y. Hilton threw a touchdown in the AFC divisional round,plausible
Determine whether the following statement or statements are plausible or implausible: Tobias Harris fumbled the ball in the NFC divisional round,implausible
Determine whether the following statement or statements are plausible or implausible: Trent Grisham struck out in the National League Championship Series,plausible
Determine whether the following statement or statements are plausible or implausible: Malik Beasley  comitted a three second violation,plausible
Determine whether the following statement or statements are plausible or implausible: Jamison Crowder drew a flag on the play,plausible
Determine whether the following statement or statements are plausible or implausible: Arjen Robben earned a direct kick,plausible
Determine whether the following statement or statements are plausible or implausible: Keenan Allen launched a hail mary,plausible
Determine whether the following statement or statements are plausible or implausible: Mark Stone took to the ice,plausible
Determine whether the following statement or statements are plausible or implausible: Charlie Blackmon pitched a complete game,plausible
Determine whether the following statement or statements are plausible or implausible: Darijo Srna eurostepped to the basket,implausible
Determine whether the following statement or statements are plausible or implausible: Jake Guentzel committed a three second violation,implausible
Determine whether the following statement or statements are plausible or implausible: Jacob deGrom took a corner kick,implausible
Determine whether the following statement or statements are plausible or implausible: Corbin Burnes earned an indirect kick,implausible
Determine whether the following statement or statements are plausible or implausible: Josh Allen hit the screen pass,plausible
Determine whether the following statement or statements are plausible or implausible: John Tavares skated behind the net,plausible
Determine whether the following statement or statements are plausible or implausible: Mookie Betts skated behind the net,implausible
Determine whether the following statement or statements are plausible or implausible: Malcolm Brogdon took a turnaround jumper in the NBA Championship,plausible
Determine whether the following statement or statements are plausible or implausible: Nikola Vucevic lost control of the puck,implausible
Determine whether the following statement or statements are plausible or implausible: Yoan Moncada flew out to center,plausible
Determine whether the following statement or statements are plausible or implausible: Seth Jones earned a trip to the penalty box,plausible
Determine whether the following statement or statements are plausible or implausible: Mike Trout hit a walkoff homer,plausible
Determine whether the following statement or statements are plausible or implausible: Sterling Shepard converted the first down,plausible
Determine whether the following statement or statements are plausible or implausible: Eden Hazard got a base hit,implausible
Determine whether the following statement or statements are plausible or implausible: Domantas Sabonis went for it on fourth down in the NFC divisional round,implausible
Determine whether the following statement or statements are plausible or implausible: Logan Couture walked on ball four,implausible
Determine whether the following statement or statements are plausible or implausible: Brandin Cooks backhanded a shot,implausible
Determine whether the following statement or statements are plausible or implausible: Deandre Ayton set the hard screen in the NBA Championship,plausible
Determine whether the following statement or statements are plausible or implausible: Rhys Hoskins scored a bicycle kick,implausible
Determine whether the following statement or statements are plausible or implausible: Zach LaVine  shot the puck,implausible
Determine whether the following statement or statements are plausible or implausible: Jamal Murray walked on ball four,implausible
Determine whether the following statement or statements are plausible or implausible: Gerard Pique gained five yards in the NFC championship,implausible
Determine whether the following statement or statements are plausible or implausible: Deshaun Watson was flagged on the play,plausible
Determine whether the following statement or statements are plausible or implausible: Charlie Blackmon shot a free throw,implausible
Determine whether the following statement or statements are plausible or implausible: DK Metcalf took a backhand shot,implausible
Determine whether the following statement or statements are plausible or implausible: Gerard Pique scored a corner kick,plausible
Determine whether the following statement or statements are plausible or implausible: Jamal Murray went five hole,implausible
Determine whether the following statement or statements are plausible or implausible: Evander Kane hit the slant pass in the AFC divisional round,implausible
Determine whether the following statement or statements are plausible or implausible: Zach LaVine  hit a double,implausible
Determine whether the following statement or statements are plausible or implausible: Max Pacioretty spent time in the penalty box,plausible
Determine whether the following statement or statements are plausible or implausible: John Carlson fumbled the ball,implausible
Determine whether the following statement or statements are plausible or implausible: Mitchell Trubisky changed direction in the backfield,plausible
Determine whether the following statement or statements are plausible or implausible: Matthew Tkachuk struck out,implausible
Determine whether the following statement or statements are plausible or implausible: Jordi Alba walked to first base,implausible
Determine whether the following statement or statements are plausible or implausible: Patrice Evra performed a give and go,plausible
Determine whether the following statement or statements are plausible or implausible: A.J. Green converted the double play,implausible
Determine whether the following statement or statements are plausible or implausible: Sonny Gray committed a blocking foul,implausible
Determine whether the following statement or statements are plausible or implausible: Radamel Falcao airballed the shot in the Eastern Conference Finals,implausible
Determine whether the following statement or statements are plausible or implausible: Gleyber Torres walked to first base in the National League Championship Series,plausible
Determine whether the following statement or statements are plausible or implausible: Luis Suarez got on the end of a through ball,plausible
Determine whether the following statement or statements are plausible or implausible: Diontae Johnson went for it on fourth down,plausible
Determine whether the following statement or statements are plausible or implausible: Joey Gallo nutmegged the defender,implausible
Determine whether the following statement or statements are plausible or implausible: Zach LaVine  committed a three second violation,plausible
Determine whether the following statement or statements are plausible or implausible: Mark Stone hit a triple,implausible
Determine whether the following statement or statements are plausible or implausible: Trae Young got into the endzone,implausible
Determine whether the following statement or statements are plausible or implausible: Andrew Wiggins airballed the shot,plausible
Determine whether the following statement or statements are plausible or implausible: Mika Zibanejad went for it on fourth down,implausible
Determine whether the following statement or statements are plausible or implausible: Shai Gilgeous-Alexander hit nothing but net,plausible
Determine whether the following statement or statements are plausible or implausible: Kyle Lowry was called for slashing,implausible
Determine whether the following statement or statements are plausible or implausible: Mike Evans was out at second in the World Series,implausible
Determine whether the following statement or statements are plausible or implausible: Gordon Hayward launched the desperation heave,plausible
Determine whether the following statement or statements are plausible or implausible: DeVante Parker was called for icing,implausible
Determine whether the following statement or statements are plausible or implausible: Giancarlo Stanton launched a triple,implausible
Determine whether the following statement or statements are plausible or implausible: Nemanja Vidic was safe at home,implausible
Determine whether the following statement or statements are plausible or implausible: Daniel Jones took a left footed shot,implausible
Determine whether the following statement or statements are plausible or implausible: J.T. Miller was called for slashing,plausible
Determine whether the following statement or statements are plausible or implausible: Paul Goldschmidt banked the shot in,implausible
Determine whether the following statement or statements are plausible or implausible: Sterling Shepard hit the back of the rim,implausible
Determine whether the following statement or statements are plausible or implausible: Eugenio Suarez pitched a complete game,plausible
Determine whether the following statement or statements are plausible or implausible: Eden Hazard airballed the shot,implausible
Determine whether the following statement or statements are plausible or implausible: Jamal Murray walked on ball four,implausible
Determine whether the following statement or statements are plausible or implausible: John Terry shot from the six yard line,plausible
Determine whether the following statement or statements are plausible or implausible: Javier Zanetti scored on the power play,implausible
Determine whether the following statement or statements are plausible or implausible: Toni Kroos performed a give and go,plausible
Determine whether the following statement or statements are plausible or implausible: Freddie Freeman watched the pitch go by,plausible
Determine whether the following statement or statements are plausible or implausible: Luka Modric took a left footed shot,plausible
Determine whether the following statement or statements are plausible or implausible: Max Scherzer scored in extra time in the World Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Mikko Rantanen entered the attacking zone,plausible
Determine whether the following statement or statements are plausible or implausible: Philip Rivers hit a triple,implausible
Determine whether the following statement or statements are plausible or implausible: James Karinchak worked a full count,plausible
Determine whether the following statement or statements are plausible or implausible: Mathew Barzal backhanded a shot,plausible
Determine whether the following statement or statements are plausible or implausible: John Terry scored in added time,plausible
Determine whether the following statement or statements are plausible or implausible: Klaas Jan Huntelaar shot with the left foot,plausible
Determine whether the following statement or statements are plausible or implausible: Mika Zibanejad performed a give and go in the FA Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Jesus Luzardo was called for slashing,implausible
Determine whether the following statement or statements are plausible or implausible: Santi Cazorla earned a red card in the Champions League Final,plausible
Determine whether the following statement or statements are plausible or implausible: Mitchell Trubisky caught the screen pass,plausible
Determine whether the following statement or statements are plausible or implausible: Mapou Yanga-M'Biwa hit the slant pass,implausible
Determine whether the following statement or statements are plausible or implausible: Zack Greinke pitched a complete game,plausible
Determine whether the following statement or statements are plausible or implausible: Didier Drogba hit nothing but net,implausible
Determine whether the following statement or statements are plausible or implausible: William Nylander skated behind the net,plausible
Determine whether the following statement or statements are plausible or implausible: Malcolm Brogdon took a charge,plausible
Determine whether the following statement or statements are plausible or implausible: Nicklas Backstrom earned a trip to the penalty box,plausible
Determine whether the following statement or statements are plausible or implausible: Ryan O'Reilly drove into the paint,implausible
Determine whether the following statement or statements are plausible or implausible: Jaylen Brown comitted a three second violation,plausible
Determine whether the following statement or statements are plausible or implausible: Mitchell Trubisky set the pick and roll,implausible
Determine whether the following statement or statements are plausible or implausible: Kwadwo Asamoah beat the shot clock in the Eastern Conference Finals,implausible
Determine whether the following statement or statements are plausible or implausible: Andres Iniesta was called for icing in the Stanley Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Neymar took a throw in in the Champions League Final,plausible
Determine whether the following statement or statements are plausible or implausible: DJ Chark caught the back shoulder fade in the NFC divisional round,plausible
Determine whether the following statement or statements are plausible or implausible: DJ Moore earned a direct kick,implausible
Determine whether the following statement or statements are plausible or implausible: Pierre-Emerick Aubameyang committed a handball,plausible
Determine whether the following statement or statements are plausible or implausible: Mecole Hardman swung to protect the runner in the American League Championship Series,implausible
Determine whether the following statement or statements are plausible or implausible: Ryan Tannehill hit a triple,implausible
Determine whether the following statement or statements are plausible or implausible: Josh Allen caught the screen pass,plausible
Determine whether the following statement or statements are plausible or implausible: John Tavares went five hole,plausible
Determine whether the following statement or statements are plausible or implausible: Samir Nasri performed a cruyff turn,plausible
Determine whether the following statement or statements are plausible or implausible: Carles Puyol did a maradona on the defender,plausible
Determine whether the following statement or statements are plausible or implausible: Henrikh Mkhitaryan hit into a double play,implausible
Determine whether the following statement or statements are plausible or implausible: Mitchell Marner was out at second,implausible
Determine whether the following statement or statements are plausible or implausible: Khris Middleton went one for two from the line in the NBA Championship,plausible
Determine whether the following statement or statements are plausible or implausible: John Carlson scored in the third period,plausible
Determine whether the following statement or statements are plausible or implausible: Philipp Lahm threw a touchdown,implausible
Determine whether the following statement or statements are plausible or implausible: Jordi Alba scored a reverse layup in the Western Conference Finals,implausible
Determine whether the following statement or statements are plausible or implausible: Carlos Tevez was flagged on the play,implausible
Determine whether the following statement or statements are plausible or implausible: Juan Soto took ball four,plausible
Determine whether the following statement or statements are plausible or implausible: Patrick Kane backhanded a shot in the Stanley Cup,plausible
Determine whether the following statement or statements are plausible or implausible: Mikal Bridges got into the endzone,implausible
Determine whether the following statement or statements are plausible or implausible: Allen Robinson gained five yards,plausible
Determine whether the following statement or statements are plausible or implausible: Golden Tate set the pick and roll,implausible
Determine whether the following statement or statements are plausible or implausible: Miro Heiskanen earned a trip to the penalty box,plausible
Determine whether the following statement or statements are plausible or implausible: Eugenio Suarez hit a walkoff homer in the National League Championship Series,plausible
Determine whether the following statement or statements are plausible or implausible: Jakub Vrana hit a walkoff homer,implausible
Determine whether the following statement or statements are plausible or implausible: Jimmy Butler eurostepped to the basket,plausible
Determine whether the following statement or statements are plausible or implausible: Pascal Siakam drove into the paint in the Western Conference Finals,plausible
Determine whether the following statement or statements are plausible or implausible: Mitchell Robinson airballed the shot,plausible
Determine whether the following statement or statements are plausible or implausible: Mike Hoffman launched the half court shot in the Western Conference Finals,implausible
Determine whether the following statement or statements are plausible or implausible: Alex Bregman flew out to center,plausible
Determine whether the following statement or statements are plausible or implausible: Marcell Ozuna shot from the six yard line,implausible
Determine whether the following statement or statements are plausible or implausible: J.T. Miller threw to first base,implausible
Determine whether the following statement or statements are plausible or implausible: Eden Hazard walked to first base,implausible
Determine whether the following statement or statements are plausible or implausible: Diego Forlan did a maradona on the defender,plausible
Determine whether the following statement or statements are plausible or implausible: Donovan Mitchell fumbled the ball in the AFC championship,implausible
Determine whether the following statement or statements are plausible or implausible: Ryan Fitzpatrick threw a touchdown,plausible
Determine whether the following statement or statements are plausible or implausible: Mario Gomez performed a slide tackle,plausible
Determine whether the following statement or statements are plausible or implausible: Dejounte Murray took a left footed shot,implausible
Determine whether the following statement or statements are plausible or implausible: Pedro struck out the side,implausible
Determine whether the following statement or statements are plausible or implausible: Juan Soto scored in the shootout,implausible
Determine whether the following statement or statements are plausible or implausible: DeMar DeRozan was perfect from the line,plausible
Determine whether the following statement or statements are plausible or implausible: De'Aaron Fox airballed the shot,plausible
Determine whether the following statement or statements are plausible or implausible: Brad Hand hit the wheel route,implausible
Determine whether the following statement or statements are plausible or implausible: Andres Iniesta performed a give and go,plausible
Determine whether the following statement or statements are plausible or implausible: Eden Hazard hit the buzzer beater,implausible
Determine whether the following statement or statements are plausible or implausible: Joey Gallo fumbled the ball,implausible
Determine whether the following statement or statements are plausible or implausible: Kyle Tucker pitched a shutout,plausible
Determine whether the following statement or statements are plausible or implausible: Terry McLaurin committed a blocking foul in the Eastern Conference Finals,implausible
Determine whether the following statement or statements are plausible or implausible: Tyler Glasnow scored a penalty kick,implausible
Determine whether the following statement or statements are plausible or implausible: Mark Scheifele skated backwards,plausible
Determine whether the following statement or statements are plausible or implausible: Ryan O'Reilly wristed a shot,plausible
Determine whether the following statement or statements are plausible or implausible: Angel Di Maria scored in extra time,plausible
Determine whether the following statement or statements are plausible or implausible: Tom Brady was safe at first,implausible
Determine whether the following statement or statements are plausible or implausible: Keenan Allen beat the buzzer in the Western Conference Finals,implausible
Determine whether the following statement or statements are plausible or implausible: Andrei Svechnikov got on the end of a through ball,implausible
Determine whether the following statement or statements are plausible or implausible: Will Fuller earned an indirect kick,implausible
Determine whether the following statement or statements are plausible or implausible: Dejounte Murray took a side-step three,plausible
Determine whether the following statement or statements are plausible or implausible: Baker Mayfield hit nothing but net,implausible
Determine whether the following statement or statements are plausible or implausible: Tim Anderson went in studs up in the European Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Trae Young set the hard screen in the Eastern Conference Finals,plausible
Determine whether the following statement or statements are plausible or implausible: Adam Thielen performed a slide tackle,implausible
Determine whether the following statement or statements are plausible or implausible: Travis Konecny did a maradona on the defender,implausible
Determine whether the following statement or statements are plausible or implausible: Iker Casillas got into the endzone in the AFC divisional round,implausible
Determine whether the following statement or statements are plausible or implausible: Max Scherzer converted the first down,implausible
Determine whether the following statement or statements are plausible or implausible: Cale Makar earned a trip to the penalty box,plausible
Determine whether the following statement or statements are plausible or implausible: Darius Slayton gained five yards,plausible
Determine whether the following statement or statements are plausible or implausible: Klaas Jan Huntelaar dunked the ball,implausible
Determine whether the following statement or statements are plausible or implausible: Kyle Connor eurostepped to the basket in the Western Conference Finals,implausible
Determine whether the following statement or statements are plausible or implausible: Mikal Bridges backhanded a shot,implausible
Determine whether the following statement or statements are plausible or implausible: Luis Robert was out at second,plausible
Determine whether the following statement or statements are plausible or implausible: Brent Burns went one for two from the line,implausible
Determine whether the following statement or statements are plausible or implausible: Toni Kroos took a throw in in the Champions Leage Semifinal,plausible
Determine whether the following statement or statements are plausible or implausible: Javier Mascherano wristed a shot,implausible
Determine whether the following statement or statements are plausible or implausible: Chris Boucher committed a three second violation,plausible
Determine whether the following statement or statements are plausible or implausible: Ryan Nugent-Hopkins spent time in the penalty box,plausible
Determine whether the following statement or statements are plausible or implausible: Michael Thomas hit a double,implausible
Determine whether the following statement or statements are plausible or implausible: Chris Boucher was called for the goal tend,plausible
Determine whether the following statement or statements are plausible or implausible: Evgeni Malkin passed the puck,plausible
Determine whether the following statement or statements are plausible or implausible: Evgeni Malkin hit a single,implausible
Determine whether the following statement or statements are plausible or implausible: Kwadwo Asamoah was flagged on the play,implausible
Determine whether the following statement or statements are plausible or implausible: Mikal Bridges scored a windmill dunk,plausible
Determine whether the following statement or statements are plausible or implausible: Karim Benzema pitched a complete game,implausible
Determine whether the following statement or statements are plausible or implausible: Juan Soto took a long two,implausible
Determine whether the following statement or statements are plausible or implausible: Kyle Tucker stepped on first base,plausible
Determine whether the following statement or statements are plausible or implausible: Keenan Allen went for it on fourth down,plausible
Determine whether the following statement or statements are plausible or implausible: Tyrese Haliburton airballed the shot,plausible
Determine whether the following statement or statements are plausible or implausible: Jimmy Garoppolo caught the back shoulder fade,plausible
Determine whether the following statement or statements are plausible or implausible: Daniel Jones hit the wheel route,plausible
Determine whether the following statement or statements are plausible or implausible: Corbin Burnes scored in the shootout,implausible
Determine whether the following statement or statements are plausible or implausible: Wayne Rooney beat the buzzer,implausible
Determine whether the following statement or statements are plausible or implausible: Marouane Fellaini scored in extra time,plausible
Determine whether the following statement or statements are plausible or implausible: Tyler Glasnow watched the pitch go by,plausible
Determine whether the following statement or statements are plausible or implausible: Gerrit Cole committed a handball in the European Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Neal Pionk took the snap,implausible
Determine whether the following statement or statements are plausible or implausible: Mike Williams fumbled the ball in the Superbowl,plausible
Determine whether the following statement or statements are plausible or implausible: Jarrett Allen fumbled the ball,implausible
Determine whether the following statement or statements are plausible or implausible: Timo Meier nutmegged the defender in the FA Cup,implausible
Determine whether the following statement or statements are plausible or implausible: Franmil Reyes scored a reverse layup,implausible
